Program 1 Time in Seconds:,Program 1 Answer:,Program 2 Time in Seconds:,Program 2 Answer:,Program Difference Score:,,
40,Receive numbers from the user and prints the average ,35,Receives numbers from user input and prints the product,5,,
15,"Takes in a series of numbers from the user, depending on how many the user says they will enter. Program then takes the average of those numbers. No error checking involved.",25,The program again takes in a list of numbers from the user depending on their specified amount. The numbers are then multiplied together and the product is returned.,10,,
55,"It collects n numbers from std input, and then calculates the average of those numbers.",47,"it collects n items, and multiplies all of the floating point numbers together",8,,
120,"Collect a set of numbers from input, then calculate an average",180,"It takes a collection of numbers from input and creates a list, then takes those values and multiplies each value in the collection to calculate the total product (sequence of multiplicaitons)",60,,
30,calculates average of numbers that are passed in based on input,33,Multiplies each item passed through python input together,3,,
41,Program takes n numbers from user input and computes the average,34,Program multiplies all numbers entered by the user and returns the product,7,,
29,Collects a list of floats from input and calculates their mean,31,Collects floats and multiplies them sequentially to compute product,2,,
16,Reads a user‑specified count of integers and averages them,24,Reads same count of integers and multiplies them together,8,,
54,"Prompts user for quantity, collects numbers, outputs average",48,Takes n inputs and multiplies them to produce product,6,,
39,"User enters a number count, program averages the values",36,"User enters a number count, program multiplies values",3,,
14,Collects integers and computes average without validation,26,Collects integers and multiplies them without validation,12,,
118,Reads a sequence of numbers and calculates mean,185,Reads sequence and multiplies values to compute product,67,,
57,Program gathers n floats and averages them,45,Program gathers n floats and multiplies them,12,,
31,Averages user‑provided list of numbers,40,Multiplies user‑provided list of numbers,9,,
42,"Prompts for count, collects values, computes average",37,"Prompts for count, collects values, computes product",5,,
15,Reads n integers and outputs their average,30,Reads n integers and outputs their product,15,,
124,Collects numeric input and calculates mean using loop,176,Collects numeric input and multiplies values using loop,52,,
53,Takes n values and averages them using accumulator,49,Takes n values and multiplies them using accumulator,4,,
,,,,,,
,,,,,,
Program 1 Average Time in Seconds:,,Program 2 Average Time in Seconds:,,mean difference:,Difference Standard Deviation,Standard Error:
49.61111111,,60.05555556,,16,20.55122724,4.843970715
,,,,,,
Program 1 Standard Deviation:,,Program 2 Standard Deviation:,,t-test statistic value:,Degrees of Freedom:,
33.84,,55.36,,-0.414,17,
,,,,,,
,,,,p-value:,,
,,,,0.68,,
